p_mean,p_std,p_min,p_max,p_drop_pct,p_slope,p_rolling_std_5,p_jitter,q_mean,q_std,q_surge_pct,q_slope,pq_corr,t_mean,t_max,zero_count,sensor_id,pipe_diameter_mm,pipe_age_years,pipe_material,hour_of_day,leak
35.34,3.1851,30.89,39.98,21.27,-0.9237,2.2872,2.3075,35.64,1.1853,0.1,0.0363,0.0086,40.2,40.7,0,sensor_005,200,15,HDPE,16,1
15.98,2.3065,13.45,20.16,32.51,-0.769,0.5113,0.9389,21.98,1.7219,-15.26,-0.5245,0.8232,40.8,41.3,0,sensor_013,250,1,PVC,3,0
14.7,4.2095,4.88,19.29,43.48,-1.015,4.6814,5.494,14.21,1.6881,-29.18,-0.5717,0.7056,31.1,31.7,0,sensor_004,200,6,HDPE,2,0
16.62,1.4525,14.77,19.76,25.24,-0.4859,0.5152,0.5425,22.47,1.7275,-21.2,-0.5769,0.891,52.6,53.1,0,sensor_020,250,9,PVC,2,0
18.86,2.0519,16.98,24.59,-12.18,0.419,2.287,2.7063,8.58,0.3823,8.7,0.1051,0.7365,35.7,36.3,0,sensor_015,100,3,Cast Iron,4,0
14.7,2.051,11.13,16.83,32.13,-0.6651,1.5465,0.8451,8.51,0.5762,8.68,0.0528,-0.1915,34.6,34.7,0,sensor_016,100,17,Cast Iron,4,1
26.01,2.1896,19.94,28.21,7.52,0.0736,0.3896,3.9569,13.73,0.352,-8.62,-0.0993,0.0281,46.5,47.1,0,sensor_008,100,24,Cast Iron,21,0
32.99,1.2428,31.44,35.32,-1.14,-0.0049,1.2628,2.1386,23.34,0.6065,0.95,0.0566,0.0128,48.6,49.1,0,sensor_020,150,21,PVC,7,0
47.25,2.9149,43.91,52.0,15.22,-0.6481,2.9869,3.7801,85.07,2.4806,-6.32,0.0672,0.2493,48.8,49.3,0,sensor_014,400,11,Steel,9,1
32.62,2.0553,29.95,36.33,-21.27,0.56,1.9577,1.9395,29.46,1.1365,9.44,0.3587,0.7272,44.2,45.1,0,sensor_016,200,4,HDPE,6,0
60.79,4.7628,54.51,68.17,-22.16,1.5055,2.5687,3.2778,104.6,6.2827,15.27,2.1059,0.8987,52.8,53.6,0,sensor_005,400,23,Steel,19,0
19.2,1.9159,15.98,21.8,24.34,-0.5928,1.3069,1.5825,31.35,0.782,2.81,-0.0593,0.3194,45.7,46.2,0,sensor_009,300,28,HDPE,3,1
41.79,2.6655,34.73,44.25,1.06,-0.0809,3.2454,3.5229,76.42,2.1971,0.31,0.139,-0.6141,50.1,50.6,0,sensor_015,400,22,Steel,21,0
32.12,1.7461,30.0,35.83,-6.56,0.277,1.7369,2.1958,22.61,0.7043,6.44,0.1565,0.4366,54.8,55.3,0,sensor_005,150,4,PVC,11,0
20.33,2.0471,16.94,23.21,-33.95,0.6701,0.7667,1.2631,13.42,0.9641,20.01,0.1885,0.487,29.1,29.6,0,sensor_005,150,24,PVC,2,0
29.32,4.2318,24.06,36.92,34.83,-1.2227,1.2518,3.8239,35.32,1.0822,11.1,0.3617,-0.8307,35.6,36.0,0,sensor_009,200,2,HDPE,7,1
27.47,1.9235,23.19,29.97,20.15,-0.6144,1.4745,1.0798,49.76,1.7538,-11.76,-0.4701,0.7633,25.2,25.7,0,sensor_003,400,23,Steel,5,0
38.71,2.4675,33.4,42.59,18.23,-0.4858,2.5343,3.2569,80.81,15.634,33.32,3.6001,-0.3979,49.1,49.5,0,sensor_009,300,29,HDPE,21,1
17.47,0.8502,16.22,19.41,7.07,-0.1182,1.1624,1.28,12.78,0.5983,-6.39,-0.0443,0.8673,38.6,38.9,0,sensor_019,150,28,PVC,2,1
47.74,1.5508,45.61,50.57,1.19,-0.1203,1.5185,2.13,91.7,3.893,2.94,0.8426,-0.1173,30.6,30.9,0,sensor_020,400,13,Steel,17,1
29.2,1.5799,26.75,32.14,11.46,-0.4936,0.8788,0.9809,22.87,0.4062,1.6,0.0135,-0.2756,34.8,35.5,0,sensor_006,150,22,PVC,14,1
34.64,2.0435,31.21,37.85,15.74,-0.5765,1.759,2.1834,50.95,2.4174,-9.93,-0.7917,0.7837,42.4,42.9,0,sensor_008,300,3,HDPE,11,0
41.72,2.5486,37.52,45.44,17.28,-0.7336,1.7452,2.7294,53.96,2.3785,-5.04,-0.6835,0.6564,54.0,54.8,0,sensor_011,250,3,PVC,18,0
35.77,1.0366,33.5,37.16,-0.5,-0.153,1.0422,1.273,33.61,0.7889,5.44,0.1337,-0.3584,34.8,35.1,0,sensor_011,200,25,HDPE,15,1
34.22,2.6378,28.42,38.12,15.13,-0.4954,2.7111,3.9314,64.88,2.6384,11.96,0.4831,-0.3844,28.7,29.2,0,sensor_009,400,8,Steel,6,0
46.53,1.7096,44.88,51.28,-10.73,0.1991,2.3604,1.9579,66.55,1.5115,4.8,0.2729,0.2655,51.6,52.2,0,sensor_019,300,3,HDPE,8,1
30.09,3.3836,24.06,35.1,29.42,-0.7899,2.7028,3.9548,15.81,0.5985,-9.41,-0.1543,0.5116,37.9,38.4,0,sensor_002,100,16,Cast Iron,17,0
21.17,2.5118,17.64,24.63,27.61,-0.8275,1.1991,1.2924,12.11,0.4293,2.78,0.0202,-0.2142,27.4,27.9,0,sensor_006,100,12,Cast Iron,22,1
